verb instrument Mean role
revive water 4.8 ARGM-MNR
serve bucket 1.4 ARGM-MNR
serve glass 4.9 ARGM-MNR
serve plate 5.9 ARGM-MNR
serve platter 5.8 ARGM-MNR
serve tray 6.5 ARGM-MNR
shoot arrow 5.0 ARG2
shoot cannon 4.5 ARG2
shoot gun 6.8 ARG2
shoot pistol 6.5 ARG2
shoot rifle 6.8 ARG2
shoot straw 1.5 ARG2
shoot tank 4.0 ARG2
signal cough 4.0 ARGM-MNR
signal flag 4.6 ARGM-MNR
signal hand 6.5 ARGM-MNR
signal light 4.7 ARGM-MNR
signal nod 5.9 ARGM-MNR
signal password 3.5 ARGM-MNR
slap glove 3.1 ARG2
slap hand 6.8 ARG2
slap paper 1.4 ARG2
slap stick 1.5 ARG2
slap towel 3.0 ARG2
stab dagger 5.9 ARGM-MNR
stab fork 4.3 ARGM-MNR
stab hatchet 3.2 ARGM-MNR
stab knife 6.8 ARGM-MNR
stab nail 2.2 ARGM-MNR
stab razor 2.5 ARGM-MNR
stab scissors 4.0 ARGM-MNR
stab toothpick 3.0 ARGM-MNR
sterilize air 2.8 ARGM-MNR
sterilize alcohol 5.4 ARGM-MNR
sterilize butter 1.0 ARGM-MNR
sterilize chemical 5.6 ARGM-MNR
sterilize heat 6.6 ARGM-MNR
sterilize pressure 2.9 ARGM-MNR
sterilize salt 2.5 ARGM-MNR
sterilize water 5.3 ARGM-MNR
stir fork 4.1 ARG2
stir scissors 1.4 ARG2
stir spoon 6.9 ARG2
stir stick 2.8 ARG2
stir straw 3.9 ARG2
sweep broom 7.0 ARG3
sweep brush 3.7 ARG3
sweep mop 3.7 ARG3
sweep rag 3.1 ARG3
sweep rake 3.0 ARG3
sweep rock 1.0 ARG3
teach cartoon 2.5 ARGM-MNR
teach chalk 6.1 ARGM-MNR
teach dice 1.4 ARGM-MNR
teach graph 4.6 ARGM-MNR
teach overhead 5.8 ARGM-MNR
teach spoon 1.1 ARGM-MNR
teach textbook 6.2 ARGM-MNR
time clock 6.6 ARGM-MNR
time hourglass 2.7 ARGM-MNR
time stopwatch 6.5 ARGM-MNR
time sun 2.4 ARGM-MNR
time sundial 2.3 ARGM-MNR
time watch 6.8 ARGM-MNR
vandalize eggs 5.1 ARGM-MNR
vandalize keys 4.7 ARGM-MNR
vandalize knife 4.3 ARGM-MNR
vandalize mallet 2.9 ARGM-MNR
vandalize paint 6.0 ARGM-MNR
vandalize pen 5.1 ARGM-MNR
wash bleach 4.8 ARGM-MNR
wash detergent 6.3 ARGM-MNR
wash paper 1.5 ARGM-MNR
wash soap 6.5 ARGM-MNR
wash vinegar 2.8 ARGM-MNR
wash water 7.0 ARGM-MNR
watch binoculars 6.1 ARGM-MNR
watch glasses 6.2 ARGM-MNR
watch kaleidoscope 2.7 ARGM-MNR
watch light 5.0 ARGM-MNR
watch mirror 4.8 ARGM-MNR
watch radar 3.8 ARGM-MNR
watch telescope 5.3 ARGM-MNR
wrap bandage 5.4 ARG2
wrap blanket 5.2 ARG2
wrap curtain 1.6 ARG2
wrap ribbon 5.3 ARG2
wrap scissors 4.4 ARG2
wrap tape 5.6 ARG2
wrap tinfoil 5.9 ARG2
write box 1.0 ARGM-MNR
write desk 4.9 ARGM-MNR
write keyboard 4.8 ARGM-MNR
write pen 6.9 ARGM-MNR
write pencil 6.8 ARGM-MNR
write stick 1.8 ARGM-MNR
write sword 1.0 ARGM-MNR
write thesaurus 3.8 ARGM-MNR
write wire 1.0 ARGM-MNR
